,"('.xsessio', 'uname', 'stty')","('.xsessio', 'uname', 'uname')","('FIFO', 'cat', 'date')","('FIFO', 'cat', 'generic')","('FIFO', 'rm', 'UNLOCK')","('LOCK', 'true', 'ls')","('MediaMai', 'sendmail', 'sendmail')","('PLATFORM', 'Slmhelpe', 'sh')","('Slmhelpe', 'sh', 'sh')","('UNLOCK', 'rmdir', 'generic')","('as1', 'driver', 'sh')","('awk', 'cat', 'post')","('cat', 'PLATFORM', 'Slmhelpe')","('cat', 'date', 'generic')","('cat', 'file', 'post')","('cat', 'generic', 'ls')","('cat', 'nawk', 'nawk')","('cat', 'post', 'rm')","('cat', 'sed', 'help')","('cfe', 'driver', 'sh')","('cfe', 'ugen', 'as1')","('chmod', 'sh', 'grep')","('cpp', 'sh', 'xrdb')","('date', 'generic', 'generic')","('date', 'generic', 'gethost')","('date', 'generic', 'rm')","('date', 'lp', 'find')","('dev.moti', 'Sqpe', 'Slmclien')","('driver', 'sh', 'cfe')","('driver', 'sh', 'make')","('driver', 'sh', 'rm')","('dvips', 'ksh', 'gs')","('dvips', 'ksh', 'ksh')","('dvips', 'ksh', 'ln')","('dvips', 'sh', 'sh')","('echo', '.xsessio', 'uname')","('echo', 'echo', '.xsessio')","('echo', 'echo', 'ksh')","('echo', 'ksh', 'ksh')","('echo', 'ksh', 'ln')","('echo', 'ksh', 'ls')","('echo', 'ksh', 'mkdir')","('echo', 'ksh', 'uname')","('egrep', 'sed', 'sh')","('expr', 'generic', 'cat')","('file', 'post', 'awk')","('find', 'cat', 'sed')","('find', 'expr', 'generic')","('find', 'mkdir', 'expr')","('find', 'tail', 'ls')","('generic', 'cat', 'file')","('generic', 'date', 'generic')","('generic', 'generic', 'date')","('generic', 'gethost', 'download')","('generic', 'ln', 'ln')","('generic', 'lp', 'ksh')","('generic', 'lp', 'sh')","('generic', 'ls', 'generic')","('generic', 'rm', 'ls')","('generic', 'tcppost', 'sh')","('getopt', 'true', 'true')","('getpgrp', 'LOCK', 'true')","('ghostvie', 'gs', 'ghostvie')","('ghostvie', 'ksh', 'gs')","('ghostvie', 'sh', 'gs')","('grep', 'date', 'lp')","('grep', 'wc', 'sed')","('gs', 'ghostvie', 'gs')","('gs', 'ghostvie', 'ksh')","('gs', 'ghostvie', 'ls')","('gs', 'ghostvie', 'rm')","('gs', 'ghostvie', 'sh')","('gs', 'gs', 'ghostvie')","('gs', 'gs', 'gs')","('gs', 'ln', 'virtex')","('gzip', 'sh', 'sh')","('help', 'sh', 'less')","('hostname', 'id', 'nawk')","('id', 'nawk', 'getopt')","('ksh', 'cat', 'nawk')","('ksh', 'gs', 'ghostvie')","('ksh', 'gs', 'gs')","('ksh', 'gs', 'ln')","('ksh', 'hostname', 'id')","('ksh', 'ksh', 'gs')","('ksh', 'ksh', 'ln')","('ksh', 'ksh', 'sh')","('ksh', 'ln', 'virtex')","('ksh', 'ls', 'ksh')","('ksh', 'ls', 'ls')","('ksh', 'ls', 'uname')","('ksh', 'movemail', 'movemail')","('ksh', 'netstat', 'netscape')","('ksh', 'sendmail', 'movemail')","('ksh', 'sendmail', 'sendmail')","('ksh', 'sh', 'sh')","('ksh', 'sh', 'xgobi')","('ksh', 'uname', 'stty')","('ksh', 'uname', 'uname')","('ld_', 'driver', 'sh')","('less', 'rm', 'sh')","('ln', 'generic', 'lp')","('ln', 'ksh', 'sh')","('ln', 'ln', 'generic')","('ln', 'virtex', 'dvips')","('lp', 'find', 'expr')","('lp', 'find', 'mkdir')","('lp', 'find', 'tail')","('ls', 'generic', 'date')","('ls', 'generic', 'generic')","('ls', 'grep', 'find')","('ls', 'gzip', 'ls')","('ls', 'ksh', 'gs')","('ls', 'ls', 'ls')","('ls', 'ls', 'uname')","('ls', 'movemail', 'movemail')","('ls', 'sed', 'FIFO')","('ls', 'sendmail', 'ls')","('ls', 'sendmail', 'sendmail')","('ls', 'uname', 'uname')","('make', 'ksh', 'xgvis')","('mkdir', 'expr', 'generic')","('movemail', 'movemail', 'sendmail')","('movemail', 'movemail', 'whoami')","('movemail', 'sendmail', 'sendmail')","('movemail', 'whoami', 'ksh')","('nawk', 'getopt', 'true')","('nawk', 'nawk', 'uname')","('nawk', 'uname', 'pwd')","('nawk', 'xdpyinfo', 'nawk')","('netscape', 'netscape', 'netscape')","('netscape', 'netscape', 'sendmail')","('netstat', 'netscape', 'netscape')","('post', 'awk', 'cat')","('post', 'rm', 'generic')","('pq', 'pq', 'pq')","('pwd', 'echo', 'echo')","('reaper', '.xsessio', 'uname')","('rm', 'UNLOCK', 'rmdir')","('rm', 'generic', 'ln')","('rm', 'ls', 'sed')","('rm', 'sh', 'ld_')","('rm', 'sh', 'sh')","('rmdir', 'generic', 'tcppost')","('sed', 'FIFO', 'cat')","('sed', 'FIFO', 'rm')","('sed', 'help', 'sh')","('sed', 'sh', 'sed')","('sed', 'sh', 'sh')","('sed', 'touch', 'chmod')","('sendmail', 'ls', 'ls')","('sendmail', 'ls', 'sendmail')","('sendmail', 'movemail', 'movemail')","('sendmail', 'sendmail', 'ls')","('sendmail', 'sendmail', 'movemail')","('sendmail', 'sendmail', 'sendmail')","('sendmail', 'sendmail', 'sh')","('sendmail', 'sendmail', 'uname')","('sendmail', 'sh', 'MediaMai')","('sendmail', 'uname', 'uname')","('sh', 'MediaMai', 'sendmail')","('sh', 'cfe', 'ugen')","('sh', 'dev.moti', 'Sqpe')","('sh', 'egrep', 'sed')","('sh', 'find', 'cat')","('sh', 'getpgrp', 'LOCK')","('sh', 'grep', 'wc')","('sh', 'gs', 'ghostvie')","('sh', 'hostname', 'id')","('sh', 'ksh', 'ksh')","('sh', 'ld_', 'driver')","('sh', 'less', 'rm')","('sh', 'ln', 'ksh')","('sh', 'ln', 'virtex')","('sh', 'make', 'cfe')","('sh', 'make', 'ksh')","('sh', 'rm', 'sh')","('sh', 'sed', 'sh')","('sh', 'sh', 'dev.moti')","('sh', 'sh', 'egrep')","('sh', 'sh', 'find')","('sh', 'sh', 'gs')","('sh', 'sh', 'ksh')","('sh', 'sh', 'ln')","('sh', 'sh', 'sed')","('sh', 'sh', 'sh')","('sh', 'sh', 'xgvis')","('sh', 'sort', 'sh')","('sh', 'uname', 'mywsh')","('sh', 'xgobi', 'sh')","('sh', 'xgvis', 'sh')","('sh', 'xprop', 'xdm')","('sh', 'xrdb', 'xmodmap')","('sort', 'sh', 'sort')","('stty', 'tset', 'cat')","('stty', 'tset', 'ksh')","('stty', 'tset', 'ls')","('stty', 'tset', 'xdpyinfo')","('tail', 'ls', 'sed')","('tcpostio', 'cat', 'generic')","('tcpostio', 'tcpostio', 'cat')","('tcpostio', 'tcpostio', 'tcpostio')","('tcppost', 'sh', 'LOCK')","('touch', 'chmod', 'sh')","('true', 'grep', 'date')","('true', 'ls', 'sed')","('true', 'true', 'grep')","('tset', 'ksh', 'movemail')","('tset', 'xdpyinfo', 'nawk')","('ugen', 'as1', 'driver')","('uname', 'cat', 'PLATFORM')","('uname', 'pwd', 'echo')","('uname', 'stty', 'tset')","('uname', 'uname', 'pwd')","('virtex', 'dvips', 'ksh')","('virtex', 'dvips', 'sh')","('wc', 'sed', 'touch')","('whoami', 'ksh', 'emacs-20')","('whoami', 'ksh', 'ls')","('whoami', 'ksh', 'movemail')","('whoami', 'ksh', 'sendmail')","('whoami', 'ksh', 'uname')","('xdpyinfo', 'nawk', 'xdpyinfo')","('xhost', 'reaper', '.xsessio')","('xrdb', 'xmodmap', 'xhost')",Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0,0,0,0,0,2,1,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,2,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,5,0,0,0,0,0,3,0,1,1,1,0
3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,4,0,0,0,0,0,0,2,0,0,0,0,0
6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,5,0,0,0,0,0,2,0,0,0,0,0
7,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,9,0,2,1,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,5,0,0,0,0,0,6,0,2,5,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,2,0,0,0,0,0,11,1,3,2,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
